Date,Open,High,Low,Close,Volume
11/14/58,53.09,53.09,53.09,53.09,2438889
11/17/58,53.24,53.24,53.24,53.24,2522222
11/18/58,53.13,53.13,53.13,53.13,2122222
11/19/58,53.2,53.2,53.2,53.2,2272222
11/20/58,53.21,53.21,53.21,53.21,2400000
11/21/58,52.7,52.7,52.7,52.7,2194444
11/24/58,52.03,52.03,52.03,52.03,2650000
11/25/58,51.02,51.02,51.02,51.02,2188889
11/26/58,51.9,51.9,51.9,51.9,2272222
11/28/58,52.48,52.48,52.48,52.48,2288889
12/1/58,52.69,52.69,52.69,52.69,2111111
12/2/58,52.46,52.46,52.46,52.46,1844444
12/3/58,52.53,52.53,52.53,52.53,1922222
12/4/58,52.55,52.55,52.55,52.55,2016667
12/5/58,52.46,52.46,52.46,52.46,1866667
12/8/58,52.46,52.46,52.46,52.46,1994444
12/9/58,52.82,52.82,52.82,52.82,2105556
12/10/58,53.46,53.46,53.46,53.46,2411111
12/11/58,53.35,53.35,53.35,53.35,2361111
12/12/58,53.22,53.22,53.22,53.22,1744444
12/15/58,53.37,53.37,53.37,53.37,1855556
12/16/58,53.57,53.57,53.57,53.57,2205556
12/17/58,53.92,53.92,53.92,53.92,2166667
12/18/58,54.15,54.15,54.15,54.15,2166667
12/19/58,54.07,54.07,54.07,54.07,1966667
12/22/58,53.71,53.71,53.71,53.71,1683333
12/23/58,53.42,53.42,53.42,53.42,1594444
12/24/58,54.11,54.11,54.11,54.11,1694444
12/29/58,54.74,54.74,54.74,54.74,2105556
12/30/58,54.93,54.93,54.93,54.93,2166667
12/31/58,55.21,55.21,55.21,55.21,2205556
1/2/59,55.44,55.44,55.44,55.44,1877778
1/5/59,55.66,55.66,55.66,55.66,2338889
1/6/59,55.59,55.59,55.59,55.59,2050000
1/7/59,54.89,54.89,54.89,54.89,2300000
1/8/59,55.4,55.4,55.4,55.4,2238889
1/9/59,55.77,55.77,55.77,55.77,2644444
1/12/59,55.78,55.78,55.78,55.78,2400000
1/13/59,55.47,55.47,55.47,55.47,2105556
1/14/59,55.62,55.62,55.62,55.62,2272222
1/15/59,55.83,55.83,55.83,55.83,2500000
1/16/59,55.81,55.81,55.81,55.81,2388889
1/19/59,55.68,55.68,55.68,55.68,2133333
1/20/59,55.72,55.72,55.72,55.72,2044444
1/21/59,56.04,56.04,56.04,56.04,2188889
1/22/59,55.97,55.97,55.97,55.97,2361111
1/23/59,56,56,56,56,2000000
1/26/59,55.77,55.77,55.77,55.77,2211111
1/27/59,55.78,55.78,55.78,55.78,1933333
1/28/59,55.16,55.16,55.16,55.16,2327778
1/29/59,55.2,55.2,55.2,55.2,1927778
1/30/59,55.45,55.45,55.45,55.45,2000000
